,name,participants,mentors,description,cohort,keywords,status,collaboration
130,International Committee on Open Phytolith Science: community building initiative and open science training for the Phytolith Community,"Carla Lancelotti, Javier Ruiz-Pérez, Maria Gabriela Musaubach, Abraham Dabengwa, Emma Karoune, Celine Kerfant, Zachary Dunseth, Juan José García-Granero","Gracielle Higino, Malvika Sharan","The International Committee on Open Phytolith Science (ICOPS) was initiated as a new committee within the International Phytolith Society in September 2021 and the first committee meeting took place in December 2021. This committee aims to increase the knowledge of and implementation of open science practices in phytolith research. We are embracing an open source approach to our work in this committee so that the work of our committee is transparent. This will include open documentation, regularly communicating with our community, and providing guidelines and communication channels to enable our community to engage with us. Therefore, we want to establish a solid base for this work going forward by further developing our GitHub repository - adding clear contributing guidelines and documentation on how the committee   is to be run. All members of the committee will also benefit from training in  all aspects of open science practices. This will allow us to gain further insight into the training and initiatives that we want to work on with our community.
We will also start to develop training packages specific to phytolith research such as in open publishing and open and FAIR data.",5,"Community Building, Open Science, Open Data, Open Access, Phytolith, Archaeology, Palaeoecology.",graduated,
131,Building an open community around the Turing-Roche Strategic Partnership,Vicky Hellon,Katharina Lauer,"The Turing-Roche strategic partnership was established in June 2021 with the goal of establishing a collaboration in advanced analytics between the two organisations to develop new data science methods to investigate large, complex, clinical and healthcare datasets to better understand how and why patients respond differently to treatment, and how treatment can be improved.  As Community Manager for the project I am developing a collaborative and open community between both organisations and beyond. As the partnership is just beginning and is flexible in nature there are opportunities to embed open practices such as open publication,   reproducibility, open data, training, co-working as well as establishing networks such as an early career researchers.",5,"treatment heterogeneity, missing health data, academia-industry partnership, open science",,
132,Art as a means to open science,Eirini Botsari,Lena Karvovskaya,"On of my goals from my current position, as a community manager at the open science community Rotterdam,  is to engage and include as many as possible; I want to sustain and grow the community. One of my ambitions is curating events and engage public to open discussions around open science. One of the events that I really want to arrange is through art (as a means) to raise awareness around open science practices, and create the floor for an open discussion around open science.  It is still a general idea, so I am aware that I still need to go over all the details and I am still not sure what blockages will rise through this journey. But I am really positive and I truly believe that art is open and can act as a mediator towards connection, expression, openness, and understanding.",5,,,
133,An Incomplete History of Research Ethics,Ismael Kherroubi Garcia,Lisanna Paladin,"[_A History of Research Ethics_](https://www.tiki-toki.com/timeline/entry/1753034/A-History-of-Research-Ethics/) is a free, online resource for researchers, governance professionals, and even college students to learn about science and ethics, and be inspired to develop practical tools for the assurance of adequately conducted research.  A key purpose of _A History of Research Ethics_ is to demonstrate the variety of disciplines and backgrounds that research ethics can draw on. In other words, interdisciplinarity is critical for its success. This means both interdisciplinary contributions _and_ adapting to audiences from diverse fields and sectors.  By embracing the collaborative nature of GitHub and OLS' open science community, I expect to take _A History of Research Ethics_ to its next stage of development.",5,"History of Science, Philosophy of Science, Research Ethics",graduated,
134,Developing thermally stable loop mediated isothermal amplification kit for a non invasive detection of malaria,Cavin Mgawe,Luis Pedro Coelho,"This study aims to develop a diagnostic LAMP kit that's sensitive and robust to Plasmodium falciparum from saliva and urine to enhance simple and easy non-invasive molecular testing. The first phase of this study involved target validation, primer, and probe design using open-access tools. Here, a principal component analysis (PCA) of the R/adegenet package (Jombart et al, 2010) and phylogenetic tree (Neighbour-joining) using R/ape package (Paradis et al, 2004) to cluster repeats of the chosen amplification target. These clusters were aligned to generate a consensus sequence for designing primers and probes for establishing the LAMP assay. I have designed an incorporated strand displacement probe using the engineering guideline of Juan et al, 2015 and the open-access Nupack software tool. The assay has and the master mix is being lyophilized for further experimental evaluation.

The sensitivity of this kit will be evaluated on extracted DNA from three sample types: saliva, urine, and clinical blood, with crude samples, lysed using lysis buffer. Correlation generated from these results will inform the best sensitive amplification. Further, a possible decay of the lyophilised master mix will be evaluated for six months to ascertain possible shelf-life.",5,"Non invasive diagnostics, molecular kit development, molecular assays, molecular diagnostics, R programming",graduated,
135,Building Pathways for Onboarding to Research Software Engineering (RSE) Asia Association and Adoption of Code of Conduct,Jyoti Bhogal,Malvika Sharan,"In October 2021, the RSE Asia Association was launched. This was done to create awareness in the Asia region about the field of Research Software Engineering. The digital infrastructure for the association has been built during the Open Life Science Cohort 4 (OLS-4) program. The webpage is in place, the contact addresses have also been created for communication with people. A small community has also started emerging. It is time that the community can expand. With the expanding community, it is now required that we create well-defined pathways for people to get onboard to the association. This project aims at building such pathways. Also, a basic Code of Conduct is already present on the RSE Asia webpage. It is to be modified to make it more appropriate for the Asian region.",5,"Community Building, Creating Pathway, Onboarding, modifying Code of Conduct",graduated,
136,Transcriptomics profiling of bladder cancer using publicly available datasets,Umar Ahmad,"Malvika Sharan, Yo Yehudi","We are to process bladder cancer RNA-Seq datasets that are publicly available. The co-authors of this manuscript will work on the analysis and apply bioinformatics methods for analysis of this large scale, heterogeneous RNA-sequencing dataset (20 + samples - 3Gb) that will be downloaded from any of the following databases; Genome Atlas (TCGA) database, Genotype-Tissue Expression (GTEx), cBio Cancer GenCancer Genomics Portal (cBioPortal) database and SRA NCBI database (choose any suitable database you are familiar with). The biological questions of particular interest include
1. identification of differentially expressed transcripts (DEGs)
2. pathways and gene networks
3. hub genes associated with cancer progression  and recurrence
4. small molecular identification 5) survival analysis.

Open source software such as R/Bioconductor (DESeq2), Unix/Linux, Python and Jupyter notebook will be mainly used for the analyses.",5,"RNA-Seq, Bladder Cancer, Transcriptomics, Bioinformatics",,
137,Bioinformatics Secondary school Outreach in Nigeria,Emmanuel Adamolekun,Meag Doherty,Bioinformatics Secondary School Outreach (BSSO) is an initiative to develop bioinformatics capacity among High school students in Nigeria and this will create early interest in genomics data analysis among the students and equip them with the relevant skills and knowledge in Bioinformatics. Bioinformatics Hub Nigeria will be training these students on how to use Bioinformatics tools and pipelines and this can be achieved by establishing Bioinformatics research clubs in the visited schools to facilitate the trainings. We would be working alongside with other sister organizations to achieve this goal,5,"Bioinformatics, Students, data analysis",,
138,OpenGHG - a cloud platform for greenhouse gas data analysis and collaboration,Gareth Jones,Michael Addy,"The [OpenGHG project](https://github.com/openghg/openghg) is a NERC funded project that aims to be a community platform for greenhouse gas data science. There is currently no central platform for greenhouse gas / atmospheric chemistry researchers to access standardised data / workflows, or easily share and analyse their measurements. Currently our prototype service processes and standardises the raw measurement data taken from sensor networks worldwide (such as the [DECC](https://www.bris.ac.uk/chemistry/research/acrg/current/decc.html) and [AGAGE](https://agage.mit.edu/) networks), records associated metadata and makes this data searchable.  We are currently in the process of adding the ability to process data from other sources, such as satellite and meteorological models.",5,"Greenhouse gases, repeatable science, data science, data sharing, data analysis, open source",graduated,
139,Visualisation of participants by their countries,Akanksha Chaudhari,"Muhammet Celik, Burce Elbasan","**Visualization of participants by their countries**  I would like to work on a project 'Visualization of participants by their countries' from the projects listed [here](https://github.com/open-life-science/open-life-science.github.io/issues/297).

With this project, I would try to represent participants and mentors participating in OLS on the map by their countries, and year of participation. I am planning to achieve  this using [Mapbox](https://www.mapbox.com/about/maps/) and [OpenStreetMap](https://www.openstreetmap.org/about/).  When hovering over a particular flag we can see that particular participants/mentors all info which is listed [here](/openseeds/ols-4/projects-participants.html) or [this one](https://github.com/open-life-science/open-life-science.github.io/blob/main/_data/people.yaml).

I would like to make something like [this](https://drive.google.com/file/d/1Ikd8Tylp_gpNi5Yt7ewqdJKqb4TcuMTG/view?usp=sharing) but would do a lot of brainstorming about design and representation. Also, we can add something like showing mentors vs ols-1/2/3/4 participants or showing number per country, or anything else creative.  The next step would be to implement this on the official site of OLS. I want to practice my coding and visualization skills through this project and would appreciate the opportunity to meet, interact and work with like-minded people.",5,"Data Visualization, database, web application",,
140,Build a community around the TU Delft Open Science MOOC,"Alessandra Candian, Lisanne Walma",Patricia Herterich,"In this project we want to develop and implement new ways of building, engaging and maintaining the community around the TU Delft Open Science MOOC. We are part of the teaching team of the TU Delft Open Science MOOC called: 'Open Science: sharing your research with the world'. The MOOC''s next run starts in [May 2022](https://www.edx.org/course/open-science-sharing-your-research-with-the-world).

The course runs for 6 weeks and discusses a variety of open science topics, course materials are also available on [TU OpenCourseWare](https://ocw.tudelft.nl/courses/open-science-sharing-research-world/).

The first Open Science MOOC started in 2018 and on average the course attracts about 1000 participants from an international environment.   As the course runs participants engage with the teachers and each other through discussion forums. Here they introduce themselves, post assignments, and share and reply to each other''s thoughts. While a few participants actively contribute and respond in  the fora, engagement is still quite limited. Moreover, there is not yet a  strategy in place to maintain the community after the course has finished.   We would like to strengthen the community building taking place during and after this course by implementing additional strategies to engage participants during the course run and keeping up with participants after the course has finished.",5,"Open Science, Community Building, Open Education, Engagement",graduated,
141,Hub23: An open source community and infrastructure for Turing's BinderHub,"Callum Mole, Lydia France, Luke Hare",Renato Alves,"Binderhub is a service that allows users to share reproducible interactive computing environments through public code repositories. The subject of our project, Hub23, is an organisational deployment of Binderhub, designed to allow Turing Researchers to use binder (the user interface) to collaborate on repositories internal to Turing. This is sometimes necessary if the underlying repository can not be shared for some reason, or is not yet ready to publish openly. During the OLS program, we aim to build an open community around Hub23 to help to guide future technical developments, and encourage use and contributions from the wider Turing community. We will host a series of Zero-to-Binder workshops aimed at introducing Turing researchers to regular binder, followed by structured discussion of what the ideal features of a collaborative reproducible environment for research would be. Any conclusions and subsequent technical development will be fed upstream to Binderhub, and we also aim to open source the methodologies used to create an internal binderhub deployment, allowing other organisations to do so.",5,"Open Source, Reproducibility, Community, Open Infrastructure, Research",graduated,
142,"Development of an Open Source Platform for the Storage, Sharing, Synthesis and Meta-Analysis of Clinical Data","Valentina Borghesani, Isil Poyraz Bilgin, Pedro Pinheiro-Chagas, Sladjana Lukic",Sara El-Gebali,"We aim to build an online platform and community that allows open sharing, storage, and synthesis of clinical (meta)data, crucial for the development of modern, transdiagnostic, FAIR neuropsychology. First, published peer-reviewed papers will be scrapped to collect already available (meta)data. Second, our platform will allow direct uploading of clinical brain maps and their corresponding metadata.

A basic automated preprocessing and data-quality check pipeline will be implemented. Key data will be automatically extracted, synthesized, and made available alongside the one directly uploaded. All the available demographic, behavioral, clinical, and cognitive data will be properly organized and mapped onto the neural data to allow statistical analysis (i.e., data-driven lesion-symptom mapping). Ultimately, probabilistic maps synthesizing transdiagnostic information on lesion-symptom mapping would be constantly updated as more data are gathered. To this end, data visualization will be critical (e.g. https://speechbrainviewer.com/). Overall, the platform will

1. enable sharing of FAIR neuropsychological datasets across research centres and groups;
2. foster understanding of the topographical distribution and morphological characteristics of brain lesions;
3. allow large-scale, data-driven exploration of the associations between behavior and cognitive symptoms and brain regions.",5,"neuropsychology, neuroimaging, data sharing, cognitive neuroscience, clinical neuroscience, data visualization, meta-analysis",graduated,
143,"Open Science, Open Future",Mariangela Panniello,Sara Villa,"Open science is vital for reproducible, fair, and rigorous research. For its principles to thrive, we need OS practices to be shared and adopted by as many scientists as possible, from the earliest stages of their career. A 2017 survey by the European Commission reports that, among 1277 researchers at all career stages, the majority were unaware of the OS concept, and had never attended an OS initiative (from the Open Science Skills Working Group Report, July 2017).

For open research to become an established reality, those who are moving their first steps into research must have the opportunity to develop the necessary skillset to apply and disseminate the OS framework. ""Open Science, Open Future"" aims to be an educational resource to be used online by young scientists: undergraduates, MSc students, and potentially high-school pupils. The curriculum will consist of several modules explaining why each aspect of the OS practice can improve research and make it fairer (e.g. best practices in sharing protocols, storing data, publishing, collaborating). I'm the co-founder of a pan-european collective of scientists, https://biotop.co/, aiming at rethinking the way we do science. Fellow members are willing to take part to the project.",5,"open education, student training, community building, educational resources, neuroscience",,
144,Open Science for Improve diagnostics of Cancer through Artificial Intelligence and Digital Pathology,"Nodira Ibrogimova, Elisee Jafsia, Stephane Fadanka, Agossou Bidossessi Emmanuel",Andres Sebastian Ayala Ruano,"Open Science for Improve diagnostics of Cancer through Artificial Intelligence and Digital Pathology.

Cancer is becoming increasingly prevalent among the group of treatable diseases in African countries. In sub-Saharan Africa, only 10% of histopathology needs are met and this is a major barrier to comprehensive management of cancers

1. There is a shortage of clinicians and pathologists available for cancer diagnosis and treatment. One of the critical factors in treatment efficiency is the correct and timely diagnosis of specimens by pathologists. However, there is currently a significant shortage of cancer care clinicians in Africa and an even more considerable shortage of pathologists. In Cameroon, there are 19 pathologists currently in practice for 22,179,707 inhabitants
2. The absolute number of patients with cancer in Cameroon was estimated to be 25,000 cases a year.

Diagnosis of cancer relies on histology in nearly 80% of cases, cytology in 10%, and clinical diagnosis in 10% (1). There is, therefore, an urgent need to develop a rapid, highly sensitive and diagnostic tool for the diagnosis of   cancers, to increase cancer treatment efficacy and reduce overtreatment of tumors clinically suspicious for malignancy.   We propose a hybrid diagnosis method with a deep Learning algorithm applied on hematoxylin and eosin histology slides. Digital microscopy and telepathology were already successfully used to mitigate the lack of pathologists in Cameroon, thus confirming the availability of a robust dataset for our project (1). Following splitting into training, validation and test sets, we will use CNNs as algorithms on the collected images to train the algorithm before deployment and tests. In addition to automated diagnostic, the developed program will have specific features such as sample information storage and tracking software as well as image optimization and analysis tools.
1. Gruber-Mösenbacher, U., Katzell, L., McNeely, M., Neier, E., Jean, B., Kuran, A., & Chamala, S. (2021). Digital pathology in Cameroon. JCO Global Oncology, 7, 1380-1389.
2. Ministry of Public Health (2017) Health analytical profile 2016 Cameroon. Ministry of Public Health, Cameroon, Yaounde.",5,"AI, Cancer, Diagnostics, Digital pathology",graduated,
145,Cultivating a Community of Practice of AI researchers,Achintya Rao,Yo Yehudi,"The ""AI for Science and Government"" (ASG) programme at The Alan Turing Institute seeks to produce three community-led white papers that will capture the outcomes of research into deploying AI and data science in priority areas to support the UK's economy. The papers will also highlight advances in practices towards open and reproducible research in the fields of AI and data science. The process of authoring the white papers will itself be collaborative, open and transparent, soliciting contributions from the wider ASG community at every step of the way.",5,"community management, open and reprodicible data science, Artificial Intelligence, community white papers",graduated,
146,Argentinean Public Health Research on Data Science and Artificial Intelligence for Epidemic Prevention (ARPHAI),"Verónica Xhardez, Sabrina López, Victoria Dumas, Federico Cestares, Laura Ación",Mayya Sundukova,"ARPHAI is an interdisciplinary research consortium, whose mission is to develop technological tools and recommendations to anticipate and manage epidemiological events. ARPHAI pilots data-driven open source tools using artificial intelligence and data science towards upgrading Argentina's electronic health record (EHR) system. ARPHAI is part of the [Global South AI4COVID Program](https://covidsouth.ai/).

ARPHAI includes persons from 20  institutions. ARPHAI started in October 2020 and has grown very fast from scratch. More specifically, ARPHAI is piloting three EHR-based components in parallel to anticipate and detect potential epidemic outbreaks
1. The extraction of computable phenotypes of diseases, symptoms, and syndromes using natural language processing to analyze EHR structured and free-text;
2. Models for understanding and prediction of relevant epidemiological variables using computable phenotypes and open data information as input; and
3. Dashboard visualization of the results from both points above, along with additional open data sources to inform decisions made by the public sector epidemiological authorities.

There are two additional lines of work ARPHAI undertakes that are transversal to these three research developments, which include a) diversity, equity, and inclusion (DEI) with a focus on gender and b) responsible use of health data.",5,,graduated,
147,FarawayFermi - A platform for open source bioinformatic tools to detect biosignatures in astrobiology,"Sagarika Valluri, Sairaj R Dillikar",,"The project focuses on building tools to understand the evolution of life. We develop bioinformatic tools to determine evolutionary processes to detect early stage life development. The project looks at data from two specific parts of detecting life - co-evolution of life and environment and biosignature assessment within the context of habitability. We use data from current experimental projects and develop new models to aid the growth of astrobiology search for life. The platform will cater to multiple sections such as- data management from all astrobiology projects, experiments, research labs and conferences; new tools to analyse data, predictive model section to simulations from the data set and collaborative forum to encourage citizen science.The platform will help create open source bioinformatic tools to help detect biosignature, assess habitability, promote involvement within  astrobiology. In addition to using bioinformatic tools, a part of the platform will use game theory and gamification to test the citizen science component. Using both the platform as a destination for tool testing and science education, we hope to advance the research in astrobiology.",5,"Bioinformatics, data, astrobiology, biosignatures, life evolution, game theory",,
148,Open collaborative network and incentive system for brain health,Juyeon Kim,," 1. Scientific perspectives Depression is becoming more common mental illness caused by the complicate network of various extrinsic and intrinsic stimulators.For the healthier and happier brain status, three key diets such as Emotional,Physical, and Nutritional diets should be considered. Scientific researchers are mostly focusing on research in unraveling the key molecule associated the mechanism of depression. However, we need to pull and process more extensive dataset from individuals, public health, and professionals in psychology, nutrition science, physical science, and neuroscience to improve or treat the brain kept or recovered to the healthy status.
2. Open science perspectives.   For comprehensive data, we need to build up the collaborative digital network with trust through benefiting to each participant to accelerate innovation from the open dataset. Effective collaboration tool or co-creation platform for the intersectoral collaboration would be required for the practice in this project.",5,"Collaboration, building trust, intersectoral collaboration, Emotional/Physical/Nutritional diet for brain, global connectivity, Digitalization, Incentives to public and scientists",,
149,"Evaluating criteria of ""best paper"" awards from research journals across disciplines",Malgorzata Lagisz,Juyeon Kim,"This project aims to create a template for an engaging Open Science course tailored to the needs and abilities of high school students. It will use a catchy premise of learning Data Science to introduce students to good (open) scientific practices and explain the importance of such practices. The teaching materials will be composed of several modules, each including short presentation on key topics, reading, quizzes, and hands-on activities, and a mini-project. For the latter, we will apply Data Science techniques to investigate science itself, specifically a corpus of scientific literature (Big Data, accessed via free Dimensions accounts). Students will plan and conduct meta-science projects on chosen topics. In other exercises, students will track the life cycle of a scientific publication and get into the shoes of one of the researchers. We will explore some of the fundamental issues that modern science and scientists face, including incentives, fraud, questionable research practices and biases, and how science intersects with the broader society and policy. Overall, this course will deepen students understanding of science as a collective activity and a complex system with many players - helping young people to navigate their career in research and develop critical skills for other career paths.",6,"Open Science, Education, Outreach, Meta-research, Big Data, Data Science, Bibliometrics",,
150,Open science spread,Dario Basset,Alessandra Candian,"The project consists of finding the right ways (media, news and tools) to spread open science concept and find adepts",6,,,
151,Open collaborative journal,Pol Arranz-Gibert,"Arielle Bennett, Diego Onna","I want to create a platform to publish scientific articles from all science disciplines that would allow: - Open peer review -- by sharing reviews with names of reviewers, we ensure a more fair reviewing process - Open post-publication review -- allow for people to comment on articles to share their view, experience reproducing results, etc. - Free publication - Random assignation of reviewers to articles -- ensures fairness in the publication process, allows junior scientists to participate in the process",6,,,
152,Development of a Multi-Adaptor Quality Control Kit for Integration with Radiographic Equipment,Umar Farouk Ahmad,Elisee Jafsia,"It was reported that ""there are over 4000 x-ray machines in Nigeria with less than 5% of them under any form of regulatory control of the Nigerian Nuclear Regulatory Authority (NNRA).There is, therefore, a need for proper Quality Assurance QA testing during installation and control tests at regular intervals as this will further help to reduce repeated radiograph and rejected films thereby saving cost and reducing patient doses. This project is aimed at deterring the level of compliance of QA across radiology centres in Kano State and to also move ahead to develop a robust, multi-adaptor quality control kit for all forms of x-ray equipment. This will help to develop local capacity, improve healthcare and promote wellbeing for all ages of Nigerians in-line with Sustainable Development Goal 3.",6,,,
153,A FAIRer training module on Open Science,Elena Giglia,Emma Karoune,"Objective: to provide a FAIR by design training course on Open Science The project aims at creating FAIRer teaching material on my subject of expertise, Open Science, improving my teaching skills by attending your course on opening up every step of the research cycle alongiside researchers in different fields.",6,"Scholarly communication, Open Science, FAIR data management, training",,
154,Ethical standards and reproducibility of computer models in Neurobiology,Susana Roman Garcia,Siobhan Mackenzie Hall,"Working with the Alan Turing Institute I want to create a framework that allows questioning of ethical standards and reproducibility of Computer Models in Computational Neurobiology, both specifically within my PhD work, and taking this as an example for others to learn too.   -	My PhD project work includes working with open source software (MCell https://mcell.org/, BioNetGen https://bionetgen.org/ and Biodynamo https://biodynamo.org/)  to create biological predictions of how memory works. It is therefore, both, intrinsically embedded and important that the work I create for my PhD is as accessible and collaborative as possible.  -	I plan to implement the Turing Way (https://the-turing-way.netlify.app/welcome), Turing Commons (https://turing-commons.netlify.app/welcome/) and Data Hazards (https://datahazards.com/) principles, as I think about ethical implications of my work. This way, I will use my PhD as a case study and share it with the wider peer community.  -	Explore these questions by designing seminars and workshops with people knowledgeable in different fields. E.g.,workshop where people with expertise in research of Ethics and people researching in Computational Neuroscience come together.  -	Offering workshops and collaboration cafés where we can work through these topics with an intersectional and collaborative approach, offering different solutions to problems that arise.",6,"ethics, neuroscience, open-research, computer models reproducibility, open source software",,
155,Open Data Custodianship tool,Jennifer Ding,Malvika Sharan,"ODC (Open Data Custodians) is an open tool for connecting public domain Github repo data to a DB/API. Inspired by the BigScience Data Governance Framework, this project seeks to empower repo maintainers to do more with their data and create new pathways for responsible data sharing in the open AI ecosystem.",6,"civic tech, data collection, urban data science, mapping",,
156,"Life Science in 2022, India.",Nilabha Mukherjea,Anne Treasure,"Generation Z stands to become the new entrants into the world of research from 2024. I believe new systems and easier ways of accessing information with more vocal communities are needed to usher in the new generation. But to do so, the new bachelor and high school students must be the recipient of effective scientific communication to help them realize the existing communities and opportunities in life science research in India. As a penultimate bioengineering student, my exposure to existing communities is recent and new. This fact allows me to understand and appreciate the importance of such communities in guiding students with a passion for research in life sciences.  Life Science in 2022 India is a concept that seeks to unite parallel enterprises by individuals across the nation under one banner.  The goal is to provide a complete and interconnected picture of Life Science research and communities in India. Simultaneously, as a founder of a Bioengineering Chapter in my institution, I will be applying our findings to build and train my colleagues and juniors to have the tools and awareness to choose their next steps in research.  Finally, we measure the success of this project through the successful publication of a paper that encompasses the findings and suggestions for building a better and more robust open community of life science research in India.",6,"Generation Z researchers, Research Trends, Open Community, Life Science, 2022",,
157,An open support resource for primary mental health for researchers.,Shamim Wanjiku Osata,Mayya Sundukova,"Mental health among researchers is a huge neglected burden that has significant impact on their lives and the people around them. Majority of the focus on mental health is in capacity building for mental health research or offering sustainable mental healthcare. The lack of conversations around how students undertaking research fail to complete projects or progress beyond certain levels in research shines a bright light on the intensity of neglect on the mental health of researchers.  It is therefore paramount to create awareness and avail tools catered to researchers needs. The project focus is to develop an open online support resource for primary mental health catered to researchers particularly scientific researchers. This platform will contain educational materials concerning emotional health which sits at the core of mental health. It will also contain self-assessment tools and techniques for developing mental resilience. In addition to that, the resource will contain a peer support network that will offer help and emotional support. The overall objective is to avail help, progress monitoring and increased understanding of the importance of mental health wellbeing among researchers.",6,"Mental health, researchers, Tools and techniques, open resource",,
158,Mapping the Open Life Science Cohorts,Saranjeet Kaur Bhogal,"Esther Plomp, Fotis Psomopoulos","This project is about creating an interactive map that locates all the past and present mentors, mentees, experts, and speakers who participated in the Open Life Science (OLS) programme. The map will be created using the Shiny R package. It will help provide the geographical reach of the programme. The aim will be to create a map that automatically updates whenever new information in stored in the database. It will also have an option to display only the mentors/only the mentees/only the experts/only the speakers. If time permits, the project will be further expanded to visually summarise other information like a table with area of expertise of the mentors, experts, and speakers.",6,"Mapping, Visualisation",,
159,Developing effective online communities to build tools for genomic equity,Marie Nugent,"Lisanna Paladin, John Ogunsola","The Diverse Data initiative at Genomics England intends to build community spaces to: Facilitate effective engagement; enable creates crowdsourcing of tools and collaborative opportunities, and; build relationships and understanding across communities around the complex nature of diverse data for genomic medicine. These communities will involve a range of researchers, clinicians and healthcare professionals, patients, publics and cultural partners.",6,"community building, crowdsourcing, collective intelligence, engagement, participatory research, genomics medicine, bioinformatics, healthcare, data science, population genetics, diversity, equity, health outcomes",,
160,AGAPE: Building an open science practicing community in Ireland,"Nina Trubanová, Cassandra Murphy, Aswathi Surendran",Sara Villa,"Under Agape, would like to build a community of open science practice to grow our work up to date in a way that can catalyse changes in researchers' perceptions of open science across Ireland and later internationally. The first step we underwent was creating a massive online open course (MOOC) by early career researchers (ECRs) for ECRs and other academics. The content of the MOOC is currently under review and is planned to launch in the late summer. We hope to grow the learning experience further by hosting workshops and events where individuals can learn from experts and share their own experiences about open science practices.",6,"community, introductory course, early career researchers, practitioners, Ireland",,
161,Open sourcing the Pyxium learning platform,Hari Sood,Nadine Spychala,"Over 2020/21 I was working on launching a social justice learning platform called Pyxium: https://app.pyxium.co/. It became apparent after working on it for a while that this should exist as an open, free and community driven platform, rather than a private for-profit enterprise.  The codebase is currently private, written exclusively by me. There is a lot of work that needs to be done to prepare it for open sourcing -   I see it as fitting into a few different categories: * *Technical*: Commenting throughout the code, cleaning the code up, clarifying folder/file structure, rewriting confusing functions/variables, ensuring basic security * *Collaboration*: Documentation, contributing guidelines, code of conduct, role distribution * *Governance*: Strategy, project management, community roles, contribution process and requirements * *Community*: Engaging developers (and educators, SJ advocates, designers...) with the project  And probably much more!",6,"education, pedagogy, social justice, online learning",,
162,Open Science Community Nigeria (OSCN),"Umar Ahmad, Mahmood Usman",Caleb Kibet,"Inspired by the Open Science (OS) movement that focuses on making science more open, improves the quality, accessibility, and efficiency of science and education, Open Science Community Nigeria (OSCN) was established to provide a space that will encourage and promote openness, transparency and reproducibility in science among scientists, network of researchers and societal stakeholders in Nigeria. There are quite a number of some initiatives in Nigeria such as AI Hub, Nigeria, Python Nigeria and R User groups that mainly promote data science and computational sciences. However, none there exist a single community that instilled responsible conduct of research, promote the principles of open science and or establish a guiding principles and core values or policies that support scientists, researchers, and societal stakeholders to meet, inspire and co-create important things together as a community. Thus, we aim to establish and develop an open science community in Nigeria where newcomers and experienced peers interact, inspire each other to adopt Open Science practices and values, identify opportunities and pitfalls, and provide feedback on policies, infrastructure, and support services as does in other regions of the World. We aim to specifically target scientists, researchers and students who are passionate about open science but have little to no experience with open science principles and practices.",6,"Open science, Community, Nigeria",,
163,"Developing an ontology to connect open science technology, RSEs and the different skills and services that follow","Megan Lisa Stock, Nina Roux, Rhoné Roux, Ariana Bethany Subroyen",Kim Martin,"Our project aims to map the relationship between people, skills and technologies, structured under the AI and data-science landscape, in order to develop an ontology that can assist Research Software Engineers (RSE's) to better manage their teams and affiliates. It also aims to enable better collaboration within the RSE community and between research institutions.    This project is driven by the growing need for RSE's by researchers, as research is becoming increasingly reliant on data-driven technologies, and within the academic community itself, there is an emphasis on providing reusable, reproducible data which is not a skill that most researchers have. By creating a semantic overview of the interaction between skills, technologies and the key role-players in the RSE community, this ontology will be able to provide information on the research fields that each RSE has background knowledge in, their development skills, and the services that they are willing to provide clients, enabling a way in which suitable RSEs can be assigned to projects where they will be able to provide software development and software-development-related assistance. This project also aligns with the thinking supported by Open Science, as the ontology is aimed to be reusable and reproducible.",6,"Ontology, RSE (Research software engineer), Semantic technology, Data science, Artificial Intelligence (AI), Knowledge engineering",,
164,Mapping the RSSE landscape in Africa,"Nomalungelo Octavia Maphanga, Anelda van der Walt, Peter van Heusden","Joyce Kao, Anne Lee Steele","This project aims to identify African research groups that are heavily involved in in-house research software development and could potentially benefit from being part of RSSE-Africa and the larger global RSE movement. This may, for example, include data science research initiatives at universities, bioinformatics or astronomy groups, computational social sciences and digital humanities groups, and many more. Furthermore, the project will identify open communities of practice related to research software and systems engineering, such as RLadies, Python User Groups, and HPC User Groups that could potentially supplement the support RSSE-Africa is providing.  For communities of practice, we will collect information on several attributes, including their focus area, communication platforms, activities offered, and more. This information will be shared in a Google Spreadsheet on the RSSE-Africa website and will be open for the community to contribute to and update as necessary. The RSSE-Africa website will simultaneously be updated to improve content and navigation.  The project will build on work done by members of the RSSE-Africa community and the Research Software Alliance (ReSA).",6,"Research landscape, RSSE, RSE, community",,
165,Open Communities: building a supportive community of practice across the AI for Multiple Long Term Conditions Research Support Facility.,"Eirini Zormpa, Sophia Batchelor",Lena Karvovskaya,"The AI for Multiple Long-term Conditions (AIM) research programme consists of seven consortia, all working with artificial intelligence methods to understand multiple long-term medical conditions. The Research Support Facility (AIM RSF) is a collaboration aimed at supporting those consortia.   Our project aims to foster a community formed from the AIM RSF and seven AIM consortia and support collaboration from three core approaches: - supporting the upskilling of researchers so that their work may meet the highest ethical, technical, and reproducibility standards - ensuring that existing technical and domain expertise is well-documented and understandable to a wide audience - leading by example and empowering community members to champion open and collaborative research practices.   We propose to do this through hosting workshops and events centred around collaborative work. We will start by collating and contributing to training materials around open science and reproducibility and supplement with workshops on tools that support openness, collaboration, and reproducibility.   We aim to host regular ""Collaborations Cafe"" sessions, where community members exchange knowledge, propose projects, and get feedback. Ideally, our project would culminate in a ReproHack, where teams check the computational reproducibility of research, provide feedback, and further develop their technical skillset.",6,"community building, training, health reseach, artificial intelligence, collaboration, reproducibility, reprohacks",,
